species,perf_met,factor_lev,letters
Ammonium-N,test_rmse,DL,a
Ammonium-N,test_rmse,PLS,a
Ammonium-N,test_rmse,RF-PCA,a
Ammonium-N,test_rmse,XGB-PCA,a
Boron,test_rmse,DL,a
Boron,test_rmse,PLS,a
Boron,test_rmse,RF-PCA,a
Boron,test_rmse,XGB-PCA,a
Calcium,test_rmse,DL,a
Calcium,test_rmse,PLS,a
Calcium,test_rmse,RF-PCA,a
Calcium,test_rmse,XGB-PCA,a
Copper,test_rmse,DL,a
Copper,test_rmse,PLS,a
Copper,test_rmse,RF-PCA,a
Copper,test_rmse,XGB-PCA,a
Iron,test_rmse,DL,a
Iron,test_rmse,PLS,a
Iron,test_rmse,RF-PCA,a
Iron,test_rmse,XGB-PCA,a
Magnesium,test_rmse,DL,ab
Magnesium,test_rmse,PLS,b
Magnesium,test_rmse,RF-PCA,a
Magnesium,test_rmse,XGB-PCA,ab
Manganese,test_rmse,DL,a
Manganese,test_rmse,PLS,b
Manganese,test_rmse,RF-PCA,b
Manganese,test_rmse,XGB-PCA,b
Molybdenum,test_rmse,DL,a
Molybdenum,test_rmse,PLS,a
Molybdenum,test_rmse,RF-PCA,a
Molybdenum,test_rmse,XGB-PCA,a
Nitrate-N,test_rmse,DL,a
Nitrate-N,test_rmse,PLS,ab
Nitrate-N,test_rmse,RF-PCA,b
Nitrate-N,test_rmse,XGB-PCA,b
Phosphorus,test_rmse,DL,a
Phosphorus,test_rmse,PLS,b
Phosphorus,test_rmse,RF-PCA,b
Phosphorus,test_rmse,XGB-PCA,ab
Potassium,test_rmse,DL,ab
Potassium,test_rmse,PLS,b
Potassium,test_rmse,RF-PCA,ab
Potassium,test_rmse,XGB-PCA,a
Sulfate,test_rmse,DL,a
Sulfate,test_rmse,PLS,a
Sulfate,test_rmse,RF-PCA,a
Sulfate,test_rmse,XGB-PCA,a
Zinc,test_rmse,DL,a
Zinc,test_rmse,PLS,ab
Zinc,test_rmse,RF-PCA,b
Zinc,test_rmse,XGB-PCA,ab
pH,test_rmse,DL,a
pH,test_rmse,PLS,ab
pH,test_rmse,RF-PCA,b
pH,test_rmse,XGB-PCA,ab
Ammonium-N,test_rsq,DL,a
Ammonium-N,test_rsq,PLS,a
Ammonium-N,test_rsq,RF-PCA,a
Ammonium-N,test_rsq,XGB-PCA,a
Boron,test_rsq,DL,a
Boron,test_rsq,PLS,a
Boron,test_rsq,RF-PCA,a
Boron,test_rsq,XGB-PCA,a
Calcium,test_rsq,DL,a
Calcium,test_rsq,PLS,a
Calcium,test_rsq,RF-PCA,a
Calcium,test_rsq,XGB-PCA,a
Copper,test_rsq,DL,a
Copper,test_rsq,PLS,a
Copper,test_rsq,RF-PCA,a
Copper,test_rsq,XGB-PCA,a
Iron,test_rsq,DL,a
Iron,test_rsq,PLS,a
Iron,test_rsq,RF-PCA,a
Iron,test_rsq,XGB-PCA,a
Magnesium,test_rsq,DL,ab
Magnesium,test_rsq,PLS,b
Magnesium,test_rsq,RF-PCA,a
Magnesium,test_rsq,XGB-PCA,ab
Manganese,test_rsq,DL,a
Manganese,test_rsq,PLS,b
Manganese,test_rsq,RF-PCA,b
Manganese,test_rsq,XGB-PCA,b
Molybdenum,test_rsq,DL,a
Molybdenum,test_rsq,PLS,b
Molybdenum,test_rsq,RF-PCA,ab
Molybdenum,test_rsq,XGB-PCA,ab
Nitrate-N,test_rsq,DL,a
Nitrate-N,test_rsq,PLS,ab
Nitrate-N,test_rsq,RF-PCA,b
Nitrate-N,test_rsq,XGB-PCA,b
Phosphorus,test_rsq,DL,a
Phosphorus,test_rsq,PLS,b
Phosphorus,test_rsq,RF-PCA,b
Phosphorus,test_rsq,XGB-PCA,b
Potassium,test_rsq,DL,a
Potassium,test_rsq,PLS,a
Potassium,test_rsq,RF-PCA,a
Potassium,test_rsq,XGB-PCA,a
Sulfate,test_rsq,DL,a
Sulfate,test_rsq,PLS,a
Sulfate,test_rsq,RF-PCA,a
Sulfate,test_rsq,XGB-PCA,a
Zinc,test_rsq,DL,a
Zinc,test_rsq,PLS,ab
Zinc,test_rsq,RF-PCA,b
Zinc,test_rsq,XGB-PCA,ab
pH,test_rsq,DL,a
pH,test_rsq,PLS,ab
pH,test_rsq,RF-PCA,b
pH,test_rsq,XGB-PCA,ab
